time,value,n
2014-05-02,0,9
2014-05-03,0,9
2014-05-04,0,9
2014-05-05,0,9
2014-05-06,0,9
2014-05-07,0,9
2014-05-08,0,9
2014-05-09,0,9
2014-05-10,0,9
2014-05-11,0,9
2014-05-12,0,9
2014-05-13,0,9
2014-05-14,0,9
2014-05-15,0,9
2014-05-16,0,10
2014-05-17,0,10
2014-05-18,0,10
2014-05-19,0,10
2014-05-20,0,10
2014-05-21,0,10
2014-05-22,0,10
2014-05-23,0,10
2014-05-24,0,10
2014-05-25,0,10
2014-05-26,0,10
2014-05-27,0,10
2014-05-28,0,10
2014-05-29,0,10
2014-05-30,0,10
2014-05-31,0,11
2014-06-01,0,11
2014-06-02,0,11
2014-06-03,0,11
2014-06-04,0,11
2014-06-05,0,11
2014-06-06,0,11
2014-06-07,0,11
2014-06-08,0,11
2014-06-09,0,11
2014-06-10,0,11
2014-06-11,0,11
2014-06-12,0,11
2014-06-13,0,11
2014-06-14,0,11
2014-06-15,0,12
2014-06-16,0,12
2014-06-17,0,12
2014-06-18,0,12
2014-06-19,0,12
2014-06-20,0,12
2014-06-21,0,12
2014-06-22,0,12
2014-06-23,0,12
2014-06-24,0,12
2014-06-25,0,12
2014-06-26,0,12
2014-06-27,0,12
2014-06-28,0,12
2014-06-29,0,12
2014-06-30,0,13
2014-07-01,0,13
2014-07-02,0,12
2014-07-03,0,12
2014-07-04,0,12
2014-07-05,0,12
2014-07-06,0,12
2014-07-07,0,12
2014-07-08,0,12
2014-07-09,0,12
2014-07-10,0,12
2014-07-11,0,12
2014-07-12,0,12
2014-07-13,0,12
2014-07-14,0,12
2014-07-15,0,13
2014-07-16,0,13
2014-07-17,0,12
2014-07-18,0,12
2014-07-19,0,12
2014-07-20,0,12
2014-07-21,0,12
2014-07-22,0,12
2014-07-23,0,12
2014-07-24,0,12
2014-07-25,0,12
2014-07-26,0,12
2014-07-27,0,12
2014-07-28,0,12
2014-07-29,0,12
2014-07-30,0,13
2014-07-31,0,13
2014-08-01,0,12
2014-08-02,0,12
2014-08-03,0,12
2014-08-04,0,12
2014-08-05,0,12
2014-08-06,0,12
2014-08-07,0,12
2014-08-08,0,12
2014-08-09,0,12
2014-08-10,0,12
2014-08-11,0,12
2014-08-12,0,12
2014-08-13,0,12
2014-08-14,0,13
2014-08-15,0,13
2014-08-16,0,12
2014-08-17,0,12
2014-08-18,0,12
2014-08-19,0,12
2014-08-20,0,12
2014-08-21,0,12
2014-08-22,0,12
2014-08-23,0,12
2014-08-24,0,12
2014-08-25,0,12
2014-08-26,0,12
2014-08-27,0,12
2014-08-28,0,12
2014-08-29,0,13
2014-08-30,0,13
2014-08-31,0,13
2014-09-01,0,13
2014-09-02,0,13
2014-09-03,0,12
2014-09-04,0,12
2014-09-05,0,12
2014-09-06,0,12
2014-09-07,0,12
2014-09-08,0,12
2014-09-09,0,12
2014-09-10,0,12
2014-09-11,0,12
2014-09-12,0,12
2014-09-13,0,13
2014-09-14,0,13
2014-09-15,0,13
2014-09-16,0,13
2014-09-17,0,13
2014-09-18,0,12
2014-09-19,0,12
2014-09-20,0,12
2014-09-21,0,12
2014-09-22,0,12
2014-09-23,0,12
2014-09-24,0,12
2014-09-25,0,12
2014-09-26,0,12
2014-09-27,0,12
2014-09-28,0,13
2014-09-29,0,13
2014-09-30,0,13
2014-10-01,0,13
2014-10-02,0,12
2014-10-03,0,12
2014-10-04,0,12
2014-10-05,0,12
2014-10-06,0,12
2014-10-07,0,12
2014-10-08,0,12
2014-10-09,0,12
2014-10-10,0,12
2014-10-11,0,12
2014-10-12,0,12
2014-10-13,0,13
2014-10-14,0,13
2014-10-15,0,13
2014-10-16,0,13
2014-10-17,0,12
2014-10-18,0,12
2014-10-19,0,12
2014-10-20,0,12
2014-10-21,0,12
2014-10-22,0,12
2014-10-23,0,12
2014-10-24,0,12
2014-10-25,0,12
2014-10-26,0,12
2014-10-27,0,12
2014-10-28,0,13
2014-10-29,0,13
2014-10-30,0,13
2014-10-31,0,13
2014-11-01,0,13
2014-11-02,0,12
2014-11-03,0,12
2014-11-04,0,12
2014-11-05,0,12
2014-11-06,0,12
2014-11-07,0,12
2014-11-08,0,12
2014-11-09,0,12
2014-11-10,0,12
2014-11-11,0,12
2014-11-12,0,13
2014-11-13,0,13
2014-11-14,0,13
2014-11-15,0,13
2014-11-16,0,13
2014-11-17,0,12
2014-11-18,0,12
2014-11-19,0,12
2014-11-20,0,12
2014-11-21,0,12
2014-11-22,0,12
2014-11-23,0,12
2014-11-24,0,12
2014-11-25,0,12
2014-11-26,0,12
2014-11-27,0,13
2014-11-28,0,13
2014-11-29,0,13
2014-11-30,0,13
2014-12-01,0,13
2014-12-02,0,12
2014-12-03,0,12
2014-12-04,0,12
2014-12-05,0,12
2014-12-06,0,12
2014-12-07,0,12
2014-12-08,0,12
2014-12-09,0,12
2014-12-10,0,12
2014-12-11,0,12
2014-12-12,0,13
2014-12-13,0,13
2014-12-14,0,13
2014-12-15,0,13
2014-12-16,0,12
2014-12-17,0,12
2014-12-18,0,12
2014-12-19,0,12
2014-12-20,0,12
2014-12-21,0,12
2014-12-22,0,12
2014-12-23,0,12
2014-12-24,0,12
2014-12-25,0,12
2014-12-26,0,12
2014-12-27,0,13
2014-12-28,0,13
2014-12-29,0,13
2014-12-30,0,13
2014-12-31,0,12
2015-01-01,0,12
2015-01-02,0,12
2015-01-03,0,12
2015-01-04,0,12
2015-01-05,0,12
2015-01-06,0,12
2015-01-07,0,12
2015-01-08,0,12
2015-01-09,0,12
2015-01-10,0,12
2015-01-11,0,13
2015-01-12,0,13
2015-01-13,0,13
2015-01-14,0,13
2015-01-15,0,13
2015-01-16,0,12
2015-01-17,0,12
2015-01-18,0,12
2015-01-19,0,12
2015-01-20,0,12
2015-01-21,0,12
2015-01-22,0,12
2015-01-23,0,12
2015-01-24,0,12
2015-01-25,0,12
2015-01-26,0,13
2015-01-27,0,13
2015-01-28,0,13
2015-01-29,0,13
2015-01-30,0,13
2015-01-31,0,12
2015-02-01,0,12
2015-02-02,0,12
2015-02-03,0,12
2015-02-04,0,12
2015-02-05,0,12
2015-02-06,0,12
2015-02-07,0,12
2015-02-08,0,12
2015-02-09,0,12
2015-02-10,0,13
2015-02-11,0,13
2015-02-12,0,13
2015-02-13,0,13
2015-02-14,0,13
2015-02-15,0,12
2015-02-16,0,12
2015-02-17,0,12
2015-02-18,0,12
2015-02-19,0,12
2015-02-20,0,12
2015-02-21,0,12
2015-02-22,0,12
2015-02-23,0,12
2015-02-24,0,12
2015-02-25,0,13
2015-02-26,0,13
2015-02-27,0,13
2015-02-28,0,13
2015-03-01,0,13
2015-03-02,0,12
2015-03-03,0,12
2015-03-04,0,12
2015-03-05,0,12
2015-03-06,0,12
2015-03-07,0,12
2015-03-08,0,12
2015-03-09,0,12
2015-03-10,0,12
2015-03-11,0,12
2015-03-12,0,13
2015-03-13,0,13
2015-03-14,0,12
2015-03-15,0,12
2015-03-16,0,12
2015-03-17,0,12
2015-03-18,0,12
2015-03-19,0,12
2015-03-20,0,12
2015-03-21,0,12
2015-03-22,0,12
2015-03-23,0,12
2015-03-24,0,12
2015-03-25,0,12
2015-03-26,0,12
2015-03-27,0,13
2015-03-28,0,13
2015-03-29,0,12
2015-03-30,0,12
2015-03-31,0,12
2015-04-01,0,12
2015-04-02,0,12
2015-04-03,0,12
2015-04-04,0,12
2015-04-05,0,12
2015-04-06,0,12
2015-04-07,0,12
2015-04-08,0,12
2015-04-09,0,12
2015-04-10,0,12
2015-04-11,0,13
2015-04-12,0,13
2015-04-13,0,13
2015-04-14,0,12
2015-04-15,0,12
2015-04-16,0,12
2015-04-17,0,12
2015-04-18,0,12
2015-04-19,0,12
2015-04-20,0,12
2015-04-21,0,12
2015-04-22,0,12
2015-04-23,0,12
2015-04-24,0,12
2015-04-25,0,12
2015-04-26,0,13
2015-04-27,0,13
2015-04-28,0,13
2015-04-29,0,12
2015-04-30,0,12
2015-05-01,0,12
2015-05-02,0,12
2015-05-03,0,12
2015-05-04,0,12
2015-05-05,0,12
2015-05-06,0,12
2015-05-07,0,12
2015-05-08,0,12
2015-05-09,0,12
2015-05-10,0,12
2015-05-11,0,13
2015-05-12,0,13
2015-05-13,0,12
2015-05-14,0,12
2015-05-15,0,12
2015-05-16,0,12
2015-05-17,0,12
2015-05-18,0,12
2015-05-19,0,12
2015-05-20,0,12
2015-05-21,0,12
2015-05-22,0,12
2015-05-23,0,12
2015-05-24,0,12
2015-05-25,0,12
2015-05-26,0,13
2015-05-27,0,13
2015-05-28,0,12
2015-05-29,0,12
2015-05-30,0,12
2015-05-31,0,12
2015-06-01,0,12
2015-06-02,0,12
2015-06-03,0,12
2015-06-04,0,12
2015-06-05,0,12
2015-06-06,0,12
2015-06-07,0,12
2015-06-08,0,12
2015-06-09,0,12
2015-06-10,0,13
2015-06-11,0,13
2015-06-12,0,13
2015-06-13,0,12
2015-06-14,0,12
2015-06-15,0,12
2015-06-16,0,12
2015-06-17,0,12
2015-06-18,0,12
2015-06-19,0,12
2015-06-20,0,12
2015-06-21,0,12
2015-06-22,0,12
2015-06-23,0,12
2015-06-24,0,12
2015-06-25,0,13
2015-06-26,0,13
2015-06-27,0,13
2015-06-28,0,12
2015-06-29,0,12
2015-06-30,0,12
2015-07-01,0,12
2015-07-02,0,12
2015-07-03,0,12
2015-07-04,0,12
2015-07-05,0,12
2015-07-06,0,12
2015-07-07,0,12
2015-07-08,0,12
2015-07-09,0,12
2015-07-10,0,13
2015-07-11,0,13
2015-07-12,0,12
2015-07-13,0,12
2015-07-14,0,12
2015-07-15,0,12
2015-07-16,0,12
2015-07-17,0,12
2015-07-18,0,12
2015-07-19,0,12
2015-07-20,0,12
2015-07-21,0,12
2015-07-22,0,12
2015-07-23,0,12
2015-07-24,0,12
2015-07-25,0,13
2015-07-26,0,13
2015-07-27,0,12
2015-07-28,0,12
2015-07-29,0,12
2015-07-30,0,12
2015-07-31,0,12
2015-08-01,0,12
2015-08-02,0,12
2015-08-03,0,12
2015-08-04,0,12
2015-08-05,0,12
2015-08-06,0,12
2015-08-07,0,12
2015-08-08,0,12
2015-08-09,0,13
2015-08-10,0,13
2015-08-11,0,12
2015-08-12,0,12
2015-08-13,0,12
2015-08-14,0,12
2015-08-15,0,12
2015-08-16,0,12
2015-08-17,0,12
2015-08-18,0,12
2015-08-19,0,12
2015-08-20,0,12
2015-08-21,0,12
2015-08-22,0,12
2015-08-23,0,12
2015-08-24,0,13
2015-08-25,0,13
2015-08-26,0,12
2015-08-27,0,12
2015-08-28,0,12
2015-08-29,0,12
2015-08-30,0,12
2015-08-31,0,12
2015-09-01,0,12
2015-09-02,0,12
2015-09-03,0,12
2015-09-04,0,12
2015-09-05,0,12
2015-09-06,0,12
2015-09-07,0,12
2015-09-08,0,13
2015-09-09,0,13
2015-09-10,0,13
2015-09-11,0,13
2015-09-12,0,13
2015-09-13,0,12
2015-09-14,0,12
2015-09-15,0,12
2015-09-16,0,12
2015-09-17,0,12
2015-09-18,0,12
2015-09-19,0,12
2015-09-20,0,12
2015-09-21,0,12
2015-09-22,0,12
2015-09-23,0,13
2015-09-24,0,13
2015-09-25,0,13
2015-09-26,0,13
2015-09-27,0,13
2015-09-28,0,12
2015-09-29,0,12
2015-09-30,0,12
2015-10-01,0,12
2015-10-02,0,12
2015-10-03,0,12
2015-10-04,0,12
2015-10-05,0,12
2015-10-06,0,12
2015-10-07,0,12
2015-10-08,0,13
2015-10-09,0,13
2015-10-10,0,13
2015-10-11,0,13
2015-10-12,0,12
2015-10-13,0,12
2015-10-14,0,12
2015-10-15,0,12
2015-10-16,0,12
2015-10-17,0,12
2015-10-18,0,12
2015-10-19,0,12
2015-10-20,0,12
2015-10-21,0,12
2015-10-22,0,12
2015-10-23,0,13
2015-10-24,0,13
2015-10-25,0,13
2015-10-26,0,13
2015-10-27,0,12
2015-10-28,0,12
2015-10-29,0,12
2015-10-30,0,12
2015-10-31,0,12
2015-11-01,0,12
2015-11-02,0,12
2015-11-03,0,12
2015-11-04,0,12
2015-11-05,0,12
2015-11-06,0,12
2015-11-07,0,13
2015-11-08,0,13
2015-11-09,0,13
2015-11-10,0,13
2015-11-11,0,13
2015-11-12,0,12
2015-11-13,0,12
2015-11-14,0,12
2015-11-15,0,12
2015-11-16,0,12
2015-11-17,0,12
2015-11-18,0,12
2015-11-19,0,12
2015-11-20,0,12
2015-11-21,0,12
2015-11-22,0,13
2015-11-23,0,13
2015-11-24,0,13
2015-11-25,0,13
2015-11-26,0,13
2015-11-27,0,12
2015-11-28,0,12
2015-11-29,0,12
2015-11-30,0,12
2015-12-01,0,12
2015-12-02,0,12
2015-12-03,0,12
2015-12-04,0,12
2015-12-05,0,12
2015-12-06,0,12
2015-12-07,0,13
2015-12-08,0,13
2015-12-09,0,13
2015-12-10,0,13
2015-12-11,0,12
2015-12-12,0,12
2015-12-13,0,12
2015-12-14,0,12
2015-12-15,0,12
2015-12-16,0,12
2015-12-17,0,12
2015-12-18,0,12
2015-12-19,0,12
2015-12-20,0,12
2015-12-21,0,12
2015-12-22,0,13
2015-12-23,0,13
2015-12-24,0,13
2015-12-25,0,13
2015-12-26,0,12
2015-12-27,0,12
2015-12-28,0,12
2015-12-29,0,12
2015-12-30,0,12
2015-12-31,0,12
2016-01-01,0,12
2016-01-02,0,12
2016-01-03,0,12
2016-01-04,0,12
2016-01-05,0,12
2016-01-06,0,13
2016-01-07,0,13
2016-01-08,0,13
2016-01-09,0,13
2016-01-10,0,13
2016-01-11,0,12
2016-01-12,0,12
2016-01-13,0,12
2016-01-14,0,12
2016-01-15,0,12
2016-01-16,0,12
2016-01-17,0,12
2016-01-18,0,12
2016-01-19,0,12
2016-01-20,0,12
2016-01-21,0,13
2016-01-22,0,13
2016-01-23,0,13
2016-01-24,0,13
2016-01-25,0,13
2016-01-26,0,12
2016-01-27,0,12
2016-01-28,0,12
2016-01-29,0,12
2016-01-30,0,12
2016-01-31,0,12
2016-02-01,0,12
2016-02-02,0,12
2016-02-03,0,12
2016-02-04,0,12
2016-02-05,0,13
2016-02-06,0,13
2016-02-07,0,13
2016-02-08,0,13
2016-02-09,0,13
2016-02-10,0,12
2016-02-11,0,12
2016-02-12,0,12
2016-02-13,0,12
2016-02-14,0,12
2016-02-15,0,12
2016-02-16,0,12
2016-02-17,0,12
2016-02-18,0,12
2016-02-19,0,12
2016-02-20,0,13
2016-02-21,0,13
2016-02-22,0,13
2016-02-23,0,13
2016-02-24,0,13
2016-02-25,0,12
2016-02-26,0,12
2016-02-27,0,12
2016-02-28,0,12
2016-02-29,0,12
2016-03-01,0,12
2016-03-02,0,12
2016-03-03,0,12
2016-03-04,0,12
2016-03-05,0,12
2016-03-06,0,13
2016-03-07,0,13
2016-03-08,0,13
2016-03-09,0,12
2016-03-10,0,12
2016-03-11,0,12
2016-03-12,0,12
2016-03-13,0,12
2016-03-14,0,12
2016-03-15,0,12
2016-03-16,0,12
2016-03-17,0,12
2016-03-18,0,12
2016-03-19,0,12
2016-03-20,0,12
2016-03-21,0,13
2016-03-22,0,13
2016-03-23,0,13
2016-03-24,0,12
2016-03-25,0,12
2016-03-26,0,12
2016-03-27,0,12
2016-03-28,0,12
2016-03-29,0,12
2016-03-30,0,12
2016-03-31,0,12
2016-04-01,0,12
2016-04-02,0,12
2016-04-03,0,12
2016-04-04,0,12
2016-04-05,0,13
2016-04-06,0,13
2016-04-07,0,13
2016-04-08,0,13
2016-04-09,0,12
2016-04-10,0,12
2016-04-11,0,12
2016-04-12,0,12
2016-04-13,0,12
2016-04-14,0,12
2016-04-15,0,12
2016-04-16,0,12
2016-04-17,0,12
2016-04-18,0,12
2016-04-19,0,12
2016-04-20,0,13
2016-04-21,0,13
2016-04-22,0,13
2016-04-23,0,13
2016-04-24,0,12
2016-04-25,0,12
2016-04-26,0,12
2016-04-27,0,12
2016-04-28,0,12
2016-04-29,0,12
2016-04-30,0,12
2016-05-01,0,12
2016-05-02,0,12
2016-05-03,0,12
2016-05-04,0,12
2016-05-05,0,13
2016-05-06,0,13
2016-05-07,0,13
2016-05-08,0,12
2016-05-09,0,12
2016-05-10,0,12
2016-05-11,0,12
2016-05-12,0,12
2016-05-13,0,12
2016-05-14,0,12
2016-05-15,0,12
2016-05-16,0,12
2016-05-17,0,12
2016-05-18,0,12
2016-05-19,0,12
2016-05-20,0,13
2016-05-21,0,13
2016-05-22,0,13
2016-05-23,0,12
2016-05-24,0,12
2016-05-25,0,12
2016-05-26,0,12
2016-05-27,0,12
2016-05-28,0,12
2016-05-29,0,12
2016-05-30,0,12
2016-05-31,0,12
2016-06-01,0,12
2016-06-02,0,12
2016-06-03,0,12
2016-06-04,0,13
2016-06-05,0,13
2016-06-06,0,13
2016-06-07,0,13
2016-06-08,0,12
2016-06-09,0,12
2016-06-10,0,12
2016-06-11,0,12
2016-06-12,0,12
2016-06-13,0,12
2016-06-14,0,12
2016-06-15,0,12
2016-06-16,0,12
2016-06-17,0,12
2016-06-18,0,12
2016-06-19,0,13
2016-06-20,0,13
2016-06-21,0,13
2016-06-22,0,13
2016-06-23,0,12
2016-06-24,0,12
2016-06-25,0,12
2016-06-26,0,12
2016-06-27,0,12
2016-06-28,0,12
2016-06-29,0,12
2016-06-30,0,12
2016-07-01,0,12
2016-07-02,0,12
2016-07-03,0,12
2016-07-04,0,13
2016-07-05,0,13
2016-07-06,0,13
2016-07-07,0,12
2016-07-08,0,12
2016-07-09,0,12
2016-07-10,0,12
2016-07-11,0,12
2016-07-12,0,12
2016-07-13,0,12
2016-07-14,0,12
2016-07-15,0,12
2016-07-16,0,12
2016-07-17,0,12
2016-07-18,0,12
2016-07-19,0,13
2016-07-20,0,13
2016-07-21,0,13
2016-07-22,0,12
2016-07-23,0,12
2016-07-24,0,12
2016-07-25,0,12
2016-07-26,0,12
2016-07-27,0,12
2016-07-28,0,12
2016-07-29,0,12
2016-07-30,0,12
2016-07-31,0,12
2016-08-01,0,12
2016-08-02,0,12
2016-08-03,0,13
2016-08-04,0,13
2016-08-05,0,13
2016-08-06,0,12
2016-08-07,0,12
2016-08-08,0,12
2016-08-09,0,12
2016-08-10,0,12
2016-08-11,0,12
2016-08-12,0,12
2016-08-13,0,12
2016-08-14,0,12
2016-08-15,0,12
2016-08-16,0,12
2016-08-17,0,12
2016-08-18,0,13
2016-08-19,0,13
2016-08-20,0,13
2016-08-21,0,12
2016-08-22,0,12
2016-08-23,0,12
2016-08-24,0,12
2016-08-25,0,12
2016-08-26,0,12
2016-08-27,0,12
2016-08-28,0,12
2016-08-29,0,12
2016-08-30,0,12
2016-08-31,0,12
2016-09-01,0,12
2016-09-02,0,13
2016-09-03,0,13
2016-09-04,0,13
2016-09-05,0,13
2016-09-06,0,13
2016-09-07,0,12
2016-09-08,0,12
2016-09-09,0,12
2016-09-10,0,12
2016-09-11,0,12
2016-09-12,0,12
2016-09-13,0,12
2016-09-14,0,12
2016-09-15,0,12
2016-09-16,0,12
2016-09-17,0,13
2016-09-18,0,13
2016-09-19,0,13
2016-09-20,0,13
2016-09-21,0,13
2016-09-22,0,12
2016-09-23,0,12
2016-09-24,0,12
2016-09-25,0,12
2016-09-26,0,12
2016-09-27,0,12
2016-09-28,0,12
2016-09-29,0,12
2016-09-30,0,12
2016-10-01,0,12
2016-10-02,0,13
2016-10-03,0,13
2016-10-04,0,13
2016-10-05,0,13
2016-10-06,0,12
2016-10-07,0,12
2016-10-08,0,12
2016-10-09,0,12
2016-10-10,0,12
2016-10-11,0,12
2016-10-12,0,12
2016-10-13,0,12
2016-10-14,0,12
2016-10-15,0,12
2016-10-16,0,12
2016-10-17,0,13
2016-10-18,0,13
2016-10-19,0,13
2016-10-20,0,13
2016-10-21,0,12
2016-10-22,0,12
2016-10-23,0,12
2016-10-24,0,12
2016-10-25,0,12
2016-10-26,0,12
2016-10-27,0,12
2016-10-28,0,12
2016-10-29,0,12
2016-10-30,0,12
2016-10-31,0,12
2016-11-01,0,13
2016-11-02,0,13
2016-11-03,0,13
2016-11-04,0,13
2016-11-05,0,13
2016-11-06,0,12
2016-11-07,0,12
2016-11-08,0,12
2016-11-09,0,12
2016-11-10,0,12
2016-11-11,0,12
2016-11-12,0,12
2016-11-13,0,12
2016-11-14,0,12
2016-11-15,0,12
2016-11-16,0,13
2016-11-17,0,13
2016-11-18,0,13
2016-11-19,0,13
2016-11-20,0,13
2016-11-21,0,12
2016-11-22,0,12
2016-11-23,0,12
2016-11-24,0,12
2016-11-25,0,12
2016-11-26,0,12
2016-11-27,0,12
2016-11-28,0,12
2016-11-29,0,12
2016-11-30,0,12
2016-12-01,0,13
2016-12-02,0,13
2016-12-03,0,13
2016-12-04,0,13
2016-12-05,0,12
2016-12-06,0,12
2016-12-07,0,12
2016-12-08,0,12
2016-12-09,0,12
2016-12-10,0,12
2016-12-11,0,12
2016-12-12,0,12
2016-12-13,0,12
2016-12-14,0,12
2016-12-15,0,12
2016-12-16,0,13
2016-12-17,0,13
2016-12-18,0,13
2016-12-19,0,13
2016-12-20,0,12
2016-12-21,0,12
2016-12-22,0,12
2016-12-23,0,12
2016-12-24,0,12
2016-12-25,0,12
2016-12-26,0,12
2016-12-27,0,12
2016-12-28,0,12
2016-12-29,0,12
2016-12-30,0,12
2016-12-31,0,13
2017-01-01,0,13
2017-01-02,0,13
2017-01-03,0,13
2017-01-04,0,13
2017-01-05,0,12
2017-01-06,0,12
2017-01-07,0,12
2017-01-08,0,12
2017-01-09,0,12
2017-01-10,0,12
2017-01-11,0,12
2017-01-12,0,12
2017-01-13,0,12
2017-01-14,0,12
2017-01-15,0,13
2017-01-16,0,13
2017-01-17,0,13
2017-01-18,0,13
2017-01-19,0,13
2017-01-20,0,12
2017-01-21,0,12
2017-01-22,0,12
2017-01-23,0,12
2017-01-24,0,12
2017-01-25,0,12
2017-01-26,0,12
2017-01-27,0,12
2017-01-28,0,12
2017-01-29,0,12
2017-01-30,0,13
2017-01-31,0,13
2017-02-01,0,13
2017-02-02,0,13
2017-02-03,0,13
2017-02-04,0,12
2017-02-05,0,12
2017-02-06,0,12
2017-02-07,0,12
2017-02-08,0,12
2017-02-09,0,12
2017-02-10,0,12
2017-02-11,0,12
2017-02-12,0,12
2017-02-13,0,12
2017-02-14,0,13
2017-02-15,0,13
2017-02-16,0,13
2017-02-17,0,13
2017-02-18,0,13
2017-02-19,0,12
2017-02-20,0,12
2017-02-21,0,12
2017-02-22,0,12
2017-02-23,0,12
2017-02-24,0,12
2017-02-25,0,12
2017-02-26,0,12
2017-02-27,0,12
2017-02-28,0,12
2017-03-01,0,13
2017-03-02,0,13
2017-03-03,0,12
2017-03-04,0,12
2017-03-05,0,12
2017-03-06,0,12
2017-03-07,0,12
2017-03-08,0,12
2017-03-09,0,12
2017-03-10,0,12
2017-03-11,0,12
2017-03-12,0,12
2017-03-13,0,12
2017-03-14,0,12
2017-03-15,0,12
2017-03-16,0,13
2017-03-17,0,13
2017-03-18,0,12
2017-03-19,0,12
2017-03-20,0,12
2017-03-21,0,12
2017-03-22,0,12
2017-03-23,0,12
2017-03-24,0,12
2017-03-25,0,12
2017-03-26,0,12
2017-03-27,0,12
2017-03-28,0,12
2017-03-29,0,12
2017-03-30,0,12
2017-03-31,0,13
2017-04-01,0,13
2017-04-02,0,13
2017-04-03,0,12
2017-04-04,0,12
2017-04-05,0,12
2017-04-06,0,12
2017-04-07,0,12
2017-04-08,0,12
2017-04-09,0,12
2017-04-10,0,12
2017-04-11,0,12
2017-04-12,0,12
2017-04-13,0,12
2017-04-14,0,12
2017-04-15,0,13
2017-04-16,0,13
2017-04-17,0,13
2017-04-18,0,12
2017-04-19,0,12
2017-04-20,0,12
2017-04-21,0,12
2017-04-22,0,12
2017-04-23,0,12
2017-04-24,0,12
2017-04-25,0,12
2017-04-26,0,12
2017-04-27,0,12
2017-04-28,0,12
2017-04-29,0,12
2017-04-30,0,13
2017-05-01,0,13
2017-05-02,0,12
2017-05-03,0,12
2017-05-04,0,12
2017-05-05,0,12
2017-05-06,0,12
2017-05-07,0,12
2017-05-08,0,12
2017-05-09,0,12
2017-05-10,0,12
2017-05-11,0,12
2017-05-12,0,12
2017-05-13,0,12
2017-05-14,0,12
2017-05-15,0,13
2017-05-16,0,13
2017-05-17,0,12
2017-05-18,0,12
2017-05-19,0,12
2017-05-20,0,12
2017-05-21,0,12
2017-05-22,0,12
2017-05-23,0,12
2017-05-24,0,12
2017-05-25,0,12
2017-05-26,0,12
2017-05-27,0,12
2017-05-28,0,12
2017-05-29,0,12
2017-05-30,0,13
2017-05-31,0,13
2017-06-01,0,13
2017-06-02,0,12
2017-06-03,0,12
2017-06-04,0,12
2017-06-05,0,12
2017-06-06,0,12
2017-06-07,0,12
2017-06-08,0,12
2017-06-09,0,12
2017-06-10,0,12
2017-06-11,0,12
2017-06-12,0,12
2017-06-13,0,12
2017-06-14,0,13
2017-06-15,0,13
2017-06-16,0,13
2017-06-17,0,12
2017-06-18,0,12
2017-06-19,0,12
2017-06-20,0,12
2017-06-21,0,12
2017-06-22,0,12
2017-06-23,0,12
2017-06-24,0,12
